"","Geographic.Area","Sex","X2016_Proportion of health care facilities with basic health care waste management services","X2016_Proportion of health care facilities with limited health care waste management services","X2016_Proportion of health care facilities with no health care waste management service","X2016_Proportion of health care facilities with basic water services","X2016_Proportion of health care facilities with limited water services","X2016_Proportion of health care facilities with no water service","X2016_Proportion of schools with basic drinking water services","X2016_Proportion of schools with limited drinking water services","X2016_Proportion of schools with no drinking water service","X2017_Proportion of population using at least basic drinking water services","X2017_Proportion of population using improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using basic drinking water services","X2017_Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using improved drinking water sources","X2017_Proportion of population using limited drinking water services","X2017_Proportion of population using non-piped improved drinking water sources","X2017_Proportion of population using improved drinking water sources located on premises","X2017_Proportion of population using piped drinking water sources","X2017_Proportion of population using safely managed drinking water services","X2017_Proportion of population using surface water","X2017_Proportion of population using unimproved drinking water sources","X2017_Proportion of population with a handwashing facility with soap and water available at home","X2017_Proportion of population with a limited handwashing facility","X2017_Proportion of population with no handwashing facility at home","X2017_Proportion of population using at least basic sanitation services","X2017_Proportion of population using basic sanitation services","X2017_Proportion of population using on-site sanitation facilities with human waste disposed in situ","X2017_Proportion of population using of on-site sanitation facilities with human waste treated off-site","X2017_Proportion of population using improved sanitation facilities"
"1","Yemen","Total",13.2,36.799999,50,NA,NA,NA,35.572948,25.65205,38.775002,63.473473,58.098053,NA,NA,92.047531,28.57406,43.745579,49.321003,48.301956,NA,4.1928802,3.7595859,49.542355,25.683113,24.774532,59.053001,NA,NA,NA,64.550674
"2","Peru","Total",28.125,NA,NA,45.833351,36.231754,17.934895,73.066017,5.105865,21.828115,NA,72.589577,40.777218,50.350651,92.136261,1.0083933,5.0287018,84.236969,87.107559,50.350651,2.6420031,5.2217326,NA,NA,NA,NA,31.578234,4.9032688,3.1340704,85.200539
"3","Somalia","Total",12.8655,57.660801,29.4737,NA,NA,21.81295,NA,NA,61.623066,52.436188,59.314846,NA,NA,83.840866,31.404678,42.460102,33.891899,41.380764,NA,2.6423969,13.516736,9.8312492,34.120323,56.048428,38.33638,NA,NA,NA,53.336952
"4","Nepal","Total",1.36085,62.44965,36.189499,NA,NA,7.3083501,46.944538,30.555462,22.5,NA,81.577232,61.568897,27.243353,91.470169,2.6579192,44.067738,64.760521,47.402431,27.243353,1.9624233,6.5674081,47.781841,51.290863,0.92729831,62.053596,NA,NA,NA,75.739822
"5","Democratic Republic of the Congo","Total",11.7863,68.383003,19.8307,NA,NA,49.660477,NA,NA,53.239632,43.24332,NA,NA,NA,55.19323,11.949908,22.983707,8.3807354,32.209522,NA,9.2084999,35.59827,4.4715977,11.222516,84.305885,20.455976,NA,NA,NA,40.743599
"6","Haiti","Total",5.7368999,70.862701,23.4004,NA,NA,13.599,NA,NA,56.990044,65.466827,62.57328,NA,NA,75.008102,9.5412788,52.435902,9.5605335,22.572205,NA,0,24.991896,22.862747,61.288841,15.848414,34.704453,NA,NA,NA,62.069527
"7","Kenya","Total",33.114876,62.053158,4.8319669,65.5877,17.571589,16.840712,NA,NA,24.577541,58.916332,56.524666,NA,NA,67.979729,9.0633936,35.898399,24.471851,32.081326,NA,20.102354,11.917919,24.651043,35.275707,40.073246,29.051115,NA,NA,NA,51.180702
"8","Bangladesh","Total",11.1439,56.3568,32.499298,70.433098,13.296675,16.270226,73.636719,9.7361383,16.627146,NA,NA,41.57478,55.441227,98.559853,1.5438453,83.657257,77.850006,14.902596,55.441227,0.93235564,0.50779355,34.807602,53.86021,11.332187,48.233242,NA,NA,NA,70.879257
"9","Czechia","Total",100,0,0,100,0,0,NA,NA,NA,NA,NA,1.9989469,99.880257,99.880257,0,0,97.88131,99.880257,97.88131,0,0.1197412,NA,NA,NA,NA,4.674964,3.0414872,3.0414872,99.990105
"10","Ethiopia","Total",64.331886,NA,NA,30,39,31,NA,NA,77.299561,NA,55.698528,29.615179,13.973217,68.900146,27.840199,32.868774,18.254454,36.031376,11.444773,8.6010561,22.498795,7.9603896,51.490353,40.549259,7.3163328,NA,NA,NA,14.680179
"11","Benin","Total",25.7509,70.152702,4.0963998,73.572014,0,26.427984,NA,NA,27.525635,66.414726,NA,NA,NA,76.413719,9.9989977,36.619797,26.288353,39.793926,NA,3.7822924,19.803984,11.034913,15.90326,73.061829,16.452921,NA,NA,NA,35.989944
